laminopathy	laminopathie
rowing 	roeien 
dronabinol	dronabinol
paracelsus	paracelsus
diarrhea	diarree
winemaking	vinificatie
maat	maät
cocaine 	cocaine
electrolyte	elektrolyt
quetiapine	quetiapine
dietitian	diëtist
histopathology	histopathologie
viroid	viroïde
cochrane 	cochrane 
supercentenarian	supereeuweling
āśrama 	ashrama
frankenstein	frankenstein 
mercury 	mercurius 
interhalogen	interhalogeen
tennessine	tennessine
myoglobin	myoglobine
hepatomegaly	hepatomegalie
russia	rusland
angiotensin	angiotensine
etilefrine	etilefrine
randomness	toeval
tissue 	weefsel 
anovulation	anovulatie
bone	bot 
lovastatin	lovastatine
biochemistry	biochemie
sleep	slaap 
ribosome	ribosoom
desmosome	desmosoom
understanding	begrijpen
egyptology	egyptologie
uterus	baarmoeder
interpreter 	interpreter
legionella	legionella
borehole	boorgat
cyclooxygenase	cyclo-oxygenase
kcnj12	kir2.2
scorpion	schorpioenen 
asphyxia	verstikking
dialysis 	dialyse 
acupuncture	acupunctuur
triphenylphosphine	trifenylfosfine
game 	wild
düsseldorf	düsseldorf
ultraviolet	ultraviolet
menopause	menopauze
asclepias	asclepias
welding	lassen
tongue	tong 
alexandria	alexandrië
hawaii	hawaï
vertebra	wervel 
medication	geneesmiddel
rape	verkrachting
polio	poliomyelitis
crimea	krim
therapy	therapie
behaviorism	behaviorisme
cinnarizine	cinnarizine
commensalism	commensalisme
metre	meter
presbycusis	presbyacusis
electrocardiography	elektrocardiogram
rheumatology	reumatologie
transmittance	transmissie 
hypocalcemia	hypocalciëmie
clove	kruidnagel
disease	ziekte
sighthound	windhond
sneeze	niezen
berkelium	berkelium
carbonylation	carbonylering
altitude	hoogte
encephalitis	hersenontsteking
timolol	timolol
electrolysis	elektrolyse
ligand 	ligand 
kidney	nier 
amasra	amasra 
akathisia	acathisie
pixel	pixel
refrigeration	koeltechniek
mass	massa 
armagnac	armagnac 
plasticity 	plasticiteit 
anthrax	miltvuur
ultraviolet	ultraviolet
venipuncture	venapunctie
sternum	borstbeen
turbidimetry	turbidimetrie
sunscreen	zonnebrandcrème
sudan	soedan
glacier	gletsjer
sternum	borstbeen
aviation	luchtvaart
radiology	radiologie
commensurability 	incommensurabiliteit 
androstenedione	androsteendion
apoptosis	apoptose
heart	hart
gunpowder	buskruit
felbamate	felbamaat
togo	togo
antisthenes	antisthenes
tachycardia	tachycardie
vertebra	wervel 
submarine	onderzeeboot
empyema	empyeem
parvati	parvati
coagulopathy	stollingsstoornis
scandium	scandium
petalite	petaliet
leptospirosis	leptospirose
aether 	ether 
addiction	verslaving
heart	hart
anapa	anapa
hemodialysis	hemodialyse
aphrodisiac	afrodisiacum
protozoa	protozoa
stimulant	stimulantia
assassination	aanslag 
patchouli	patchoeli
vertebrate	gewervelden
firmament	firmament 
sushruta	sushruta
substrate 	substraat 
mniotype	mniotype
methylglyoxal	methylglyoxaal
headache	hoofdpijn
syncytium	syncytium
itraconazole	itraconazol
tamarind	tamarinde
hysteria	hysterie
madrasa	madrassa
intention	intentie
statin	statine
inhalation	inademing
thebacon	thebacon
steroid	steroïde
therapy	therapie
hyperparathyroidism	hyperparathyreoïdie
nephrology	nefrologie
hiccup	hik
depolarization	depolarisatie 
micrognathism	micrognathie
rapeseed	koolzaad
rishikesh	rishikesh
tetraplegia	tetraplegie
klebsiella	klebsiella
soil	bodem
half-life	halveringstijd
camptothecin	camptothecine
lager	lager 
anticoagulant	anticoagulantia
self-esteem	eigenwaarde 
aquarium	aquarium
gc-content	gc-gehalte
chalcogen	zuurstofgroep
platelet	bloedplaatje
caffeine	cafeïne
ephor	eforen
diwali	divali
ventricle 	ventrikel 
algorithm	algoritme
ceruloplasmin	ceruloplasmine
cirrhosis	cirrose
argentina	argentinië
weathering	verwering
synergy	synergie
nephelometry 	nefelometrie
hypernatremia	hypernatriëmie
antiserum	antiserum
za'atar	za'atar
nystatin	nystatine
prevalence	prevalentie
shearing 	afschuiving 
angiotensin	angiotensine
cerberus	kerberos 
calcifediol	calcidiol
cyanosis	cyanose
algorithm	algoritme
hyoscyamine	hyoscyamine
cough	hoest
cough	hoest
urine	urine
trichotillomania	trichotillomanie
nausea	misselijkheid
adenoma	adenoom
scoliosis	scoliose
diuretic	diureticum
alkali	alkali
feedback	terugkoppeling
thermistor	thermistor
crotone	crotone 
electrocardiography	elektrocardiogram
phytoestrogen	fyto-oestrogenen
pound 	pond 
sacrum	heiligbeen
smelting	smelten 
resorcinol	resorcinol
heparin	heparine
remscheid	remscheid
hiv/aids	aids
jainism	jaïnisme
diastereomer	diastereomeer
cereal	graan
alchornea	alchornea
chordate	chordadieren
tetrahydrogestrinone	tetrahydrogestrinon
synedrion	synedrion
keratin	keratine
sarcoma	sarcoom
diet 	dieet
cephalopod	inktvissen
candidiasis	candidiasis
airlock	luchtsluis
chlorpromazine	chloorpromazine
promiscuity	promiscuïteit
toothpaste	tandpasta
taormina	taormina
pyrophosphate	pyrofosfaat
radical 	radicaal 
electrophoresis	elektroforese
flexitarianism	flexitarisme
omnivore	omnivoor
alkane	alkaan
thalamus	thalamus
stoicism	stoa
metaxa	metaxa
periphanes	periphanes
osteoporosis	osteoporose
thujone	thujon
angiogenesis	angiogenese
scarification	scarificatie 
naltrexone	naltrexon
cyanobacteria	blauwalgen
temazepam	temazepam
university	universiteit
phloretin	floretine
injection 	injectie 
combinatorics	combinatoriek
pomorie	pomorie
hydrocephalus	hydrocefalus
electrocardiography	elektrocardiogram
diplopia	diplopie
anisocytosis	anisocytose
sleep	slaap 
synapse	synaps
arrhythmia	hartritmestoornis
epirus	epirus 
ascomycota	ascomyceten
hinduism	hindoeïsme
