apheresis	aphérèse 
nonbenzodiazepine	non-benzodiazépine
artephius	artéphius
antifungal	antimycosique
photodermatitis	photosensibilisation
migraine	migraine
tomotherapy	tomothérapie
asepsis	asepsie
vinblastine	vinblastine
myalgia	myalgie
ezetimibe	ézétimibe
dizziness	étourdissement
therapy	traitement 
posaconazole	posaconazole
trimethylamine	triméthylamine
parenchyma	parenchyme
cardiomyopathy	cardiomyopathie
sciatica	lombosciatique
nagarjuna	nāgārjuna
aquanaut	aquanaute
hemosiderosis	hémosidérose
serology	sérologie
tesla 	tesla 
snus	snus
nitrite	nitrite
hypoalgesia	hypoalgésie
thromboxane	thromboxane
paideia	paideia
dhātu 	dhātu
lysander	lysandre
vishnu	vishnou
dharma	dharma
moldova	moldavie
upadacitinib	upadacitinib
sulfhemoglobinemia	sulfhémoglobinémie
uveitis	uvéite
clonus	clonus
conjunctiva	conjonctive
ion	ion
belgium	belgique
infection	infection
mamba	dendroaspis
procalcitonin	procalcitonine
düsseldorf	düsseldorf
dnyaneshwar	jnaneshvara
guangzhou	canton 
fluorodeoxyglucose 	fluorodésoxyglucose 
anosmia	anosmie
pupil	pupille
rimonabant	rimonabant
ephesus	éphèse
astrovirus	astroviridae
kelvin	kelvin
syphilis	syphilis
carfilzomib	carfilzomib
biorhythm 	biorythme
sesamin	sésamine
ramakrishna	râmakrishna
pseudo-democritus	pseudo-démocrite
mycobacterium	mycobacterium
meninges	méninges
lymphedema	lymphœdème
sanitation	assainissement
acetamide	acétamide
chakra	chakra
philia	philia
framing 	cadrage 
physostome	physostome
erdafitinib	erdafitinib
proopiomelanocortin	proopiomélanocortine
hyperthyroidism	hyperthyroïdie
medlineplus	medlineplus
sacrum	sacrum
green	vert
piperidine	pipéridine
ayurveda	ayurveda
hyperoside	hypéroside
hafiz 	hafiz 
kaṇāda 	kanada
hermetica	hermetica
arabic	arabe
dexlansoprazole	dexlansoprazole
pms2	pms2
ertugliflozin	ertugliflozine
coltan	coltan
freckle	éphélide
ephedrine	éphédrine
meclizine	méclozine
tetracaine	tétracaïne
ara 	arag
tritium	tritium
amitriptyline	amitriptyline
bicarbonate	bicarbonate
callus 	cal 
glucoside	glucoside
abciximab	abciximab
pharmacokinetics	pharmacocinétique
pasteurization	pasteurisation
reinforcement	renforcement
glutaminase	glutaminase
erythrasma	érythrasma
mediastinum	médiastin
ecgonine	ecgonine
moksha	moksha
erasistratus	érasistrate
vasopressin	vasopressine
digoxin	digoxine
oligomer	oligomère
snoring	ronflement
vitruvius	vitruve
phagocyte	phagocyte
ptprc	cd45
centenarian	centenaire
meciadanol	méciadanol
plasmid	plasmide
neptunite	neptunite
vindesine	vindésine
theriac	thériaque
cd40 	cd40
screwdriver 	screwdriver
etoposide	étoposide
tetany	tétanie
disproportionation	dismutation
novartis	novartis
amerasian	amérasien
picrotoxin	picrotoxine
potassium	potassium
plakoglobin	plakoglobine
ethology	éthologie
denkard	denkard
ustekinumab	ustékinumab
enzyme	enzyme
opioid	opioïde
median	médiane 
stenosis	sténose
bearing 	palier 
aripiprazole	aripiprazole
phenylephrine	phényléphrine
nucleosynthesis	nucléosynthèse
trabeculectomy	trabéculectomie
diphenadione	diphacinone
cytisinicline	cytisine
lactobacillus	lactobacille
hemiballismus	hémiballisme
épaulard	épaulard 
sultopride	sultopride
hirsutism	hirsutisme
christianity	christianisme
kcnj14	kir2.4
charango	charango
zeranol	zeranol
tianeptine	tianeptine
wart	verrue
physiology	physiologie
imhotep	imhotep
residency 	résidence 
eicosanoid	eicosanoïde
fibrinolysis	fibrinolyse
puthandu	puthandu
metabolism	métabolisme
thrombus	thrombus
fluorescence	fluorescence
pymol	pymol
blinatumomab	blinatumomab
paxilline	paxilline 
ambulance	ambulance
microorganism	micro-organisme
alabama	alabama
coca-cola	coca-cola
lymphadenopathy	adénopathie
liver	foie
electrophoresis	électrophorèse
anti-inflammatory	anti-inflammatoire
memoization	mémoïsation
